,track_uri,track_name,artist_name,artist_pop,artist_genres,album,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,date,checked_date,rock viet,vinahouse,viet edm,mainland se asia metal,vietnamese bolero,indie viet,vietnamese trap,vietnamese hip hop,viet remix,viet lo-fi,viet instrumental,year,v_pop,v_rap
0,spotify:track:3un8UkiPHJjlsrTHQnisXH,Từng Quen,Wren Evans,54,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Từng Quen,71,0.758,0.246,7,-16.913,1,0.17,0.203,0.0,0.101,0.49,77.01,3un8UkiPHJjlsrTHQnisXH,175545,4,2023-10-25,2023-10-25,0,0,0,0,0,0,0,1,0,0,0,2023,1.0,1.0
1,spotify:track:6KgZf5gZgF1KLNxq1qZgHP,Anh Là Ngoại Lệ Của Em,Phương Ly,54,['v-pop'],Anh Là Ngoại Lệ Của Em,70,0.844,0.677,6,-5.958,1,0.0564,0.171,2.34e-05,0.387,0.791,111.006,6KgZf5gZgF1KLNxq1qZgHP,188108,4,2023-10-05,2023-10-05,0,0,0,0,0,0,0,0,0,0,0,2023,1.0,0.0
2,spotify:track:4acXEYw7ayyJnm9GXDrqiL,Hit Me Up (feat. Nomovodka),Binz,54,"['v-pop', 'vietnamese hip hop']",Hit Me Up (feat. Nomovodka),70,0.775,0.44,9,-9.05,0,0.0355,0.493,0.000222,0.0591,0.451,99.993,4acXEYw7ayyJnm9GXDrqiL,268200,3,2023-10-19,2023-10-19,0,0,0,0,0,0,0,1,0,0,0,2023,1.0,0.0
3,spotify:track:0kHgteR4TV4LO80wrasDSR,Bạn Đời,Karik,52,"['v-pop', 'vietnamese hip hop']",Bạn Đời,71,0.843,0.484,5,-8.246,1,0.053,0.706,0.0,0.098,0.356,129.987,0kHgteR4TV4LO80wrasDSR,300719,4,2023-10-04,2023-10-04,0,0,0,0,0,0,0,1,0,0,0,2023,1.0,0.0
4,spotify:track:08ULi904W2Po6pVj8nN7KC,đưa em về nhàa,GREY D,58,['v-pop'],đưa em về nhàa,67,0.664,0.531,3,-10.227,1,0.0391,0.674,1.54e-05,0.353,0.644,90.96,08ULi904W2Po6pVj8nN7KC,240000,4,2023-04-24,2023-04-24,0,0,0,0,0,0,0,0,0,0,0,2023,1.0,0.0
5,spotify:track:3CyGK8BeJ5iCunpzvHyINs,Anh Luôn Như Vậy,B Ray,55,"['v-pop', 'vietnamese hip hop']",Anh Luôn Như Vậy,67,0.601,0.438,6,-12.432,1,0.0486,0.299,2.75e-06,0.0821,0.234,132.152,3CyGK8BeJ5iCunpzvHyINs,208962,4,2023-10-05,2023-10-05,0,0,0,0,0,0,0,1,0,0,0,2023,1.0,0.0
6,spotify:track:1ZgiJ8fiSEwd07OpB9ZuRz,Cắt Đôi Nỗi Sầu,Tăng Duy Tân,50,['v-pop'],Cắt Đôi Nỗi Sầu,65,0.907,0.57,9,-8.185,0,0.0532,0.771,0.0166,0.104,0.582,120.042,1ZgiJ8fiSEwd07OpB9ZuRz,182000,4,2023-09-27,2023-09-27,0,0,0,0,0,0,0,0,0,0,0,2023,1.0,0.0
7,spotify:track:5J3m0taZ0W1E9HTE0MwcSv,Simp Gái 808,Low G,57,"['v-pop', 'vietnamese hip hop']",Simp Gái 808,68,0.778,0.514,8,-12.45,0,0.197,0.355,0.000535,0.323,0.224,94.994,5J3m0taZ0W1E9HTE0MwcSv,161948,4,2023-10-18,2023-10-18,0,0,0,0,0,0,0,1,0,0,0,2023,1.0,0.0
8,spotify:track:0SmQ0UWeiHKQtxUej4Rem6,Tháng Năm,SOOBIN,48,['v-pop'],The Playah,59,0.67,0.618,9,-5.467,0,0.0377,0.128,0.0,0.0534,0.251,147.015,0SmQ0UWeiHKQtxUej4Rem6,225358,4,2020-12-15,2020-12-15,0,0,0,0,0,0,0,0,0,0,0,2020,1.0,0.0
9,spotify:track:17iGUekw5nFt5mIRJcUm3R,Chúng Ta Của Hiện Tại,Sơn Tùng M-TP,55,"['v-pop', 'vietnamese idol pop', 'vietnamese melodic rap']",Chúng Ta Của Hiện Tại,61,0.569,0.66,2,-5.268,1,0.0358,0.0675,0.0,0.202,0.497,155.907,17iGUekw5nFt5mIRJcUm3R,301538,4,2020-12-20,2020-12-20,0,0,0,0,0,0,0,0,0,0,0,2020,1.0,1.0
10,spotify:track:25h0TqC9H3BcMA7KjK5nHK,vaicaunoicokhiennguoithaydoi,GREY D,58,['v-pop'],vaicaunoicokhiennguoithaydoi,69,0.56,0.42,7,-10.729,1,0.257,0.882,0.000605,0.11,0.585,173.695,25h0TqC9H3BcMA7KjK5nHK,225862,4,2022-06-20,2022-06-20,0,0,0,0,0,0,0,0,0,0,0,2022,1.0,0.0
11,spotify:track:1MiJk3dXC5jzhvLFP0dUM7,Thức Giấc,Da LAB,56,"['indie viet', 'v-pop', 'vietnamese hip hop']",Thức Giấc,63,0.66,0.578,9,-8.591,1,0.0306,0.45,8.86e-05,0.103,0.19,127.092,1MiJk3dXC5jzhvLFP0dUM7,269021,4,2021-07-14,2021-07-14,0,0,0,0,0,1,0,1,0,0,0,2021,1.0,0.0
12,spotify:track:0SLhB9JLM4Ksz1XdwK3aQD,Hà Nội (ft. VSTRA),Obito,58,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Đánh Đổi,66,0.768,0.368,11,-13.274,0,0.047,0.329,0.105,0.284,0.365,107.998,0SLhB9JLM4Ksz1XdwK3aQD,165556,4,2023-10-10,2023-10-10,0,0,0,0,0,0,0,1,0,0,0,2023,1.0,1.0
13,spotify:track:4ih9noxBfg7euMjCPO0qNH,Chìm Sâu,RPT MCK,61,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap', 'vietnamese trap']",Chìm Sâu,62,0.68,0.545,11,-7.026,0,0.116,0.537,0.0,0.121,0.363,204.141,4ih9noxBfg7euMjCPO0qNH,156000,3,2022-02-24,2022-02-24,0,0,0,0,0,0,1,1,0,0,0,2022,1.0,1.0
14,spotify:track:5Msoarj5hk9LguTtiIyqug,Ngày Đầu Tiên,Đức Phúc,47,['v-pop'],Ngày Đầu Tiên,61,0.691,0.564,0,-4.606,1,0.0266,0.774,0.0,0.144,0.356,110.043,5Msoarj5hk9LguTtiIyqug,208939,4,2022-02-11,2022-02-11,0,0,0,0,0,0,0,0,0,0,0,2022,1.0,0.0
15,spotify:track:2c0QMztYu6PCfFrGLqHXIV,Răng Khôn (feat. RIN9),Phí Phương Anh,37,['v-pop'],Răng Khôn (feat. RIN9),55,0.547,0.54,7,-5.746,1,0.0391,0.781,0.0,0.152,0.356,82.053,2c0QMztYu6PCfFrGLqHXIV,231585,4,2021-04-22,2021-04-22,0,0,0,0,0,0,0,0,0,0,0,2021,1.0,0.0
16,spotify:track:5fFLotKS1286huYIMQHqz7,Muộn Rồi Mà Sao Còn,Sơn Tùng M-TP,55,"['v-pop', 'vietnamese idol pop', 'vietnamese melodic rap']",Muộn Rồi Mà Sao Còn,60,0.888,0.418,0,-9.812,1,0.0573,0.665,0.0,0.111,0.531,127.073,5fFLotKS1286huYIMQHqz7,275906,4,2021-04-29,2021-04-29,0,0,0,0,0,0,0,0,0,0,0,2021,1.0,1.0
17,spotify:track:1Dyf0sRNi4bns4TeWgKpVY,Thói Quen (25 Mét Vuông) [feat. Gducky],Hoàng Dũng,53,"['v-pop', 'vietnamese singer-songwriter']",Thói Quen (25 mét vuông) [feat. Gducky],54,0.69,0.533,5,-5.256,1,0.0519,0.745,0.0,0.137,0.591,139.862,1Dyf0sRNi4bns4TeWgKpVY,279857,4,2021-11-21,2021-11-21,0,0,0,0,0,0,0,0,0,0,0,2021,1.0,0.0
18,spotify:track:05X3a0YGmS1rbH50aL8lGF,Một Ngàn Nỗi Đau,Văn Mai Hương,50,['v-pop'],Một Ngàn Nỗi Đau,61,0.452,0.415,6,-6.667,1,0.0392,0.807,0.0,0.114,0.241,125.935,05X3a0YGmS1rbH50aL8lGF,321905,4,2022-06-23,2022-06-23,0,0,0,0,0,0,0,0,0,0,0,2022,1.0,0.0
19,spotify:track:4Iz5EWPCAT8jYNk4IpLoll,Dù Cho Mai Về Sau,buitruonglinh,50,"['indie viet', 'v-pop']",Dù Cho Mai Về Sau,61,0.632,0.579,11,-8.352,1,0.0602,0.187,1.93e-06,0.101,0.503,155.984,4Iz5EWPCAT8jYNk4IpLoll,233976,4,2020-11-17,2020-11-17,0,0,0,0,0,1,0,0,0,0,0,2020,1.0,0.0
20,spotify:track:6Hs2xIgB8nzyGFDvVA8lFa,Có Em,Madihu,52,"['indie viet', 'v-pop', 'vietnamese melodic rap']",Có em,68,0.79,0.423,9,-7.965,0,0.0533,0.87,0.0,0.149,0.726,133.961,6Hs2xIgB8nzyGFDvVA8lFa,218512,4,2022-04-22,2022-04-22,0,0,0,0,0,1,0,0,0,0,0,2022,1.0,1.0
21,spotify:track:5ECHJ1llWBNYLVCYrllD3x,Chạy Khỏi Thế Giới Này,Da LAB,56,"['indie viet', 'v-pop', 'vietnamese hip hop']",Chạy Khỏi Thế Giới Này,66,0.71,0.552,5,-10.257,1,0.0694,0.761,1.22e-05,0.0921,0.617,139.904,5ECHJ1llWBNYLVCYrllD3x,255429,4,2022-06-30,2022-06-30,0,0,0,0,0,1,0,1,0,0,0,2022,1.0,0.0
22,spotify:track:3DLtPObflLQBodZN8qGODT,2AM,JustaTee,54,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",2AM,61,0.704,0.573,0,-7.032,0,0.0518,0.737,0.0,0.068,0.759,127.995,3DLtPObflLQBodZN8qGODT,258281,4,2022-05-10,2022-05-10,0,0,0,0,0,0,0,1,0,0,0,2022,1.0,1.0
