id,artist_name,track_name,danceability,energy,acousticness,valence,tempo
song_001,Min,Track Title 1,0.45,0.24,0.81,0.51,111
song_002,Vũ,Track Title 2,0.77,0.28,0.71,0.63,127
song_003,Tiên Tiên,Track Title 3,0.54,0.28,0.14,0.84,81
song_004,Erik,Track Title 4,0.71,0.65,0.29,0.94,72
song_005,JustaTee,Track Title 5,0.71,0.72,0.23,0.75,87
song_006,Phan Mạnh Quỳnh,Track Title 6,0.65,0.61,0.67,0.46,109
song_007,Tiên Tiên,Track Title 7,0.36,0.87,0.04,0.46,90
song_008,Ngọt,Track Title 8,0.84,0.46,0.52,0.73,84
song_009,Min,Track Title 9,0.51,0.4,0.69,0.3,95
song_010,Jack,Track Title 10,0.42,0.81,0.79,0.19,77
song_011,Hoàng Thùy Linh,Track Title 11,0.33,0.36,0.31,0.4,156
song_012,Min,Track Title 12,0.68,0.87,0.74,0.34,111
song_013,JustaTee,Track Title 13,0.74,0.21,0.11,0.35,113
song_014,JustaTee,Track Title 14,0.31,0.88,0.76,0.3,83
song_015,Phan Mạnh Quỳnh,Track Title 15,0.63,0.23,0.12,0.14,147
song_016,Ngọt,Track Title 16,0.45,0.82,0.36,0.12,71
song_017,Vũ,Track Title 17,0.72,0.57,0.72,0.94,106
song_018,Phan Mạnh Quỳnh,Track Title 18,0.41,0.9,0.14,0.46,138
song_019,Phan Mạnh Quỳnh,Track Title 19,0.75,0.25,0.21,0.43,107
song_020,Hoàng Thùy Linh,Track Title 20,0.55,0.59,0.65,0.68,110
song_021,Binz,Track Title 21,0.91,0.88,0.65,0.29,131
song_022,Ngọt,Track Title 22,0.39,0.57,0.58,0.91,129
song_023,Đen Vâu,Track Title 23,0.52,0.64,0.63,0.77,83
song_024,Phan Mạnh Quỳnh,Track Title 24,0.37,0.69,0.49,0.18,158
song_025,Soobin Hoài Ngọc,Track Title 25,0.9,0.52,0.23,0.45,153
