user_id,song_id,play_duration_sec,frequency,dwell_time_sec,is_searched
U01,S001,180,3,15,TRUE
U01,S002,25,1,2,FALSE
U01,S003,210,5,30,FALSE
U02,S001,150,2,10,TRUE
U02,S004,15,1,1,FALSE
U03,S005,240,10,60,TRUE
U03,S002,190,4,20,FALSE
U04,S006,45,1,5,TRUE
U04,S007,10,1,0,FALSE
U05,S008,300,8,45,TRUE
U05,S001,20,1,3,FALSE
U06,S009,160,2,12,FALSE
U06,S010,175,3,18,TRUE
U07,S011,220,6,25,TRUE
U07,S003,18,1,2,FALSE
U08,S012,195,4,22,FALSE
U08,S013,260,7,35,TRUE
U09,S014,140,2,10,FALSE
U10,S015,15,1,1,FALSE
U10,S016,215,5,28,TRUE
